"","X","genes","logFC","logCPM","LR","PValue","FDR"
"3","ENSG00000165949","ENSG00000165949",3.6562750561175,7.03199684111849,27.931659886997,1.25676508299664e-07,0.000633996092202372
"4","ENSG00000175445","ENSG00000175445",11.5045409501622,3.04917247921913,23.8637672185782,1.03399724850981e-06,0.00391212858973687
"6","ENSG00000198932","ENSG00000198932",11.0698227659162,2.59254104570614,20.1881161108389,7.01876195514332e-06,0.0177036572381898
"7","ENSG00000187608","ENSG00000187608",3.30819749818704,8.6984402988138,19.2927977763576,1.12128511598787e-05,0.0242421842076577
"8","ENSG00000272323","ENSG00000272323",10.8860339683859,2.42746759202312,18.2345735623933,1.95301291882268e-05,0.0369461218918281
