"","genes","logFC","logCPM","LR","PValue","FDR"
"ENSG00000169248","ENSG00000169248",6.68842003286315,6.70430117816595,81.0689644214807,2.17976485338732e-19,3.29885612911637e-15
"ENSG00000111331","ENSG00000111331",3.08891436869091,7.76505392647265,35.7743326752792,2.21547547101794e-09,1.67645028891928e-05
"ENSG00000165949","ENSG00000165949",3.6562750561175,7.03199684111849,27.931659886997,1.25676508299664e-07,0.000633996092202372
"ENSG00000175445","ENSG00000175445",11.5045409501622,3.04917247921913,23.8637672185782,1.03399724850981e-06,0.00391212858973687
"ENSG00000130303","ENSG00000130303",2.42299195667229,7.84675579627572,21.35896985662,3.80834744875129e-06,0.0115271060578804
"ENSG00000198932","ENSG00000198932",11.0698227659162,2.59254104570614,20.1881161108389,7.01876195514332e-06,0.0177036572381898
"ENSG00000187608","ENSG00000187608",3.30819749818704,8.6984402988138,19.2927977763576,1.12128511598787e-05,0.0242421842076577
"ENSG00000272323","ENSG00000272323",10.8860339683859,2.42746759202312,18.2345735623933,1.95301291882268e-05,0.0369461218918281
"ENSG00000126709","ENSG00000126709",2.9435522767862,9.18574473588608,17.6062031968061,2.71700646818815e-05,0.0456879732106217
